################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0966063664290971E-01 a         1     0     1     1     1
 -2.1066178955113304E-01 a         2     0     1     1     2
  1.5309966171063394E-01 a         3     0     1     1     3
  1.6668483914113799E-01 a         4     0     1     1     4
  1.5131361819025102E-01 a         5     0     1     1     5
 -1.4383080498925727E-02 a         6     0     1     1     6
  4.1898991415441439E-01 a         7     0     1     1     7
  5.4277284127535075E-02 a         8     0     1     1     8
  3.5722746835753588E-01 a         9     0     1     1     9
  1.4134691515973560E-01 a        10     0     1     1    10
  1.7863780381727229E-01 a        11     0     2     1     1
 -1.3075168621056303E-02 a        12     0     2     1     2
 -3.0180416196364912E-01 a        13     0     2     1     3
 -2.3512208447696167E-01 a        14     0     2     1     4
 -3.3052052072949223E-01 a        15     0     2     1     5
  3.8836877261279279E-01 a        16     0     2     1     6
  5.3951138130290655E-01 a        17     0     2     1     7
 -2.4116457879851644E-01 a        18     0     2     1     8
 -3.5214330482643141E-01 a        19     0     2     1     9
  7.8108126112406400E-03 a        20     0     2     1    10
  1.1316903742892456E-01 a        21     0     3     1     1
 -1.9813758958582842E-01 a        22     0     3     1     2
  2.3564837840053932E-01 a        23     0     3     1     3
 -4.4544342172659866E-02 a        24     0     3     1     4
 -2.0222118197290362E-01 a        25     0     3     1     5
  1.4719378111838760E-01 a        26     0     3     1     6
 -6.2680387271256285E-02 a        27     0     3     1     7
  6.5605580589379903E-02 a        28     0     3     1     8
  8.5868991429461056E-02 a        29     0     3     1     9
  1.0437190498667497E-02 a        30     0     3     1    10
  1.9034868965909091E-01 a        31     0     4     1     1
 -3.1341404478719449E-02 a        32     0     4     1     2
  2.1602315824104984E-01 a        33     0     4     1     3
  4.2376714974394142E-01 a        34     0     4     1     4
  2.5258855196311009E-01 a        35     0     4     1     5
  2.2272637722446034E-01 a        36     0     4     1     6
  1.6836857031668367E-04 a        37     0     4     1     7
  1.3216136095427836E-01 a        38     0     4     1     8
  1.6916966472845568E-01 a        39     0     4     1     9
 -6.3361800087095368E-02 a        40     0     4     1    10
  1.9050971913169745E-01 a        41     0     5     1     1
 -1.2561200801040723E-01 a        42     0     5     1     2
 -4.6762995901580458E-02 a        43     0     5     1     3
  7.6771271411701453E-02 a        44     0     5     1     4
 -1.8185344092494668E-01 a        45     0     5     1     5
  2.5793292400890813E-02 a        46     0     5     1     6
 -2.6456472138806680E-01 a        47     0     5     1     7
  6.9943931502296525E-02 a        48     0     5     1     8
  1.6698725155189525E-01 a        49     0     5     1     9
  1.6696704520761799E-01 a        50     0     5     1    10
  1.2131546005815652E-01 a        51     0     6     1     1
 -2.2992425944973816E-01 a        52     0     6     1     2
  1.5788338578881719E-01 a        53     0     6     1     3
 -5.5221835143727714E-02 a        54     0     6     1     4
 -2.0105499208183902E-01 a        55     0     6     1     5
 -3.1623025326853689E-02 a        56     0     6     1     6
  1.3053686354633640E-01 a        57     0     6     1     7
  1.5652253295954435E-01 a        58     0     6     1     8
 -1.4319687656358401E-01 a        59     0     6     1     9
 -7.9638735299842806E-02 a        60     0     6     1    10
 -3.4630952588949288E-01 a        61     0     7     1     1
  2.1799853386324358E-01 a        62     0     7     1     2
 -2.6680344291036162E-01 a        63     0     7     1     3
  1.0900819451314979E-01 a        64     0     7     1     4
