################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.2906453156821079E-01 a         1     0     1     1     1
 -5.9932653399797593E-02 a         2     0     1     1     2
 -2.0920579049505769E-01 a         3     0     1     1     3
 -2.8884994675901543E-01 a         4     0     1     1     4
  1.8105482021395652E-01 a         5     0     1     1     5
  1.1554201259482919E-01 a         6     0     1     1     6
  2.3635022309998094E-01 a         7     0     1     1     7
  1.7702797443094320E-01 a         8     0     1     1     8
  1.8906346800393246E-02 a         9     0     1     1     9
  8.6486843541485597E-03 a        10     0     1     1    10
 -1.7934177302468662E-01 a        11     0     1     1    11
  7.3683420859316687E-02 a        12     0     1     1    12
 -3.4074821533958424E-02 a        13     0     1     1    13
 -9.0158527810672101E-02 a        14     0     1     1    14
  1.7287053204350525E-01 a        15     0     1     1    15
 -2.2204645848524324E-01 a        16     0     2     1     1
 -1.0834068723238503E-01 a        17     0     2     1     2
 -2.0533254379873442E-01 a        18     0     2     1     3
 -5.0147247428146960E-03 a        19     0     2     1     4
  1.5576554217475977E-01 a        20     0     2     1     5
 -2.4131461337490201E-01 a        21     0     2     1     6
 -1.9171828083586051E-01 a        22     0     2     1     7
  2.8183152319285054E-01 a        23     0     2     1     8
 -1.4266190426259015E-01 a        24     0     2     1     9
  6.2049045620656369E-03 a        25     0     2     1    10
  5.9220116919328068E-02 a        26     0     2     1    11
 -2.4273647249028094E-01 a        27     0     2     1    12
  1.0253361614216715E-01 a        28     0     2     1    13
  1.0987477815922077E-01 a        29     0     2     1    14
 -1.3354656755255695E-01 a        30     0     2     1    15
 -4.2102376258717308E-02 a        31     0     3     1     1
 -2.3281708139044249E-01 a        32     0     3     1     2
  1.9452480114625006E-01 a        33     0     3     1     3
  7.7670843791607852E-02 a        34     0     3     1     4
  1.0856225414001014E-01 a        35     0     3     1     5
  1.0832225080185105E-01 a        36     0     3     1     6
  2.3094212093959607E-01 a        37     0     3     1     7
  3.5901659309144837E-02 a        38     0     3     1     8
 -2.1163525428159738E-01 a        39     0     3     1     9
  1.1922687195902870E-01 a        40     0     3     1    10
  5.1001712463604645E-02 a        41     0     3     1    11
 -1.0800456184051528E-01 a        42     0     3     1    12
  9.2745620205104476E-02 a        43     0     3     1    13
 -1.1134724517530832E-01 a        44     0     3     1    14
  1.2892929791348271E-02 a        45     0     3     1    15
 -2.8834895715956910E-01 a        46     0     4     1     1
 -3.9866278731093337E-02 a        47     0     4     1     2
 -2.5157236886153556E-01 a        48     0     4     1     3
 -1.2187940192101862E-01 a        49     0     4     1     4
 -2.4179920572857982E-01 a        50     0     4     1     5
  3.8865187682923096E-02 a        51     0     4     1     6
  3.0859933097525361E-01 a        52     0     4     1     7
 -2.7930924886252717E-01 a        53     0     4     1     8
 -8.9033367423488052E-02 a        54     0     4     1     9
  2.1230522859126560E-01 a        55     0     4     1    10
 -2.1314698828844594E-01 a        56     0     4     1    11
  2.0768869703818188E-01 a        57     0     4     1    12
  4.6168280902200265E-02 a        58     0     4     1    13
 -1.1597904004379322E-01 a        59     0     4     1    14
 -2.4596860488208752E-01 a        60     0     4     1    15
 -7.9316113379258008E-02 a        61     0     5     1     1
  1.4838730411935863E-01 a        62     0     5     1     2
