################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.9649744834903797E-01 a         1     0     1     1     1
 -3.0946706480286129E-01 a         2     0     1     1     2
  2.3747096098953482E-01 a         3     0     1     1     3
 -9.6042359224770590E-01 a         4     0     1     1     4
  5.2149311367586892E-01 a         5     0     1     1     5
  7.7919064887565181E-01 a         6     0     1     1     6
 -2.9423101721051415E-01 a         7     0     1     1     7
 -9.2249293468314661E-02 a         8     0     1     1     8
 -1.2908203505300383E-02 a         9     0     1     1     9
 -1.1428698624792475E+00 a        10     0     1     1    10
  2.3440942103548559E-01 a        11     0     1     1    11
 -1.2676543725905504E-01 a        12     0     1     1    12
 -8.5292147988260658E-01 a        13     0     1     1    13
  3.0416740828089428E-01 a        14     0     1     1    14
  5.7131959614278249E-02 a        15     0     1     1    15
  8.2559789828431829E-01 a        16     0     2     1     1
  2.7818998972375691E-01 a        17     0     2     1     2
 -5.2495959616453813E-01 a        18     0     2     1     3
  5.3196276061905390E-01 a        19     0     2     1     4
  3.7869452421689970E-01 a        20     0     2     1     5
  6.7507468848475860E-02 a        21     0     2     1     6
  1.1693047595240689E+00 a        22     0     2     1     7
  1.0984524444968369E+00 a        23     0     2     1     8
  1.9974463317600327E-01 a        24     0     2     1     9
  6.7794286654128610E-01 a        25     0     2     1    10
 -6.8634742044776509E-01 a        26     0     2     1    11
  5.6612270966793254E-01 a        27     0     2     1    12
  1.3156824315826527E+00 a        28     0     2     1    13
 -6.4518543860368194E-01 a        29     0     2     1    14
  5.0257894976910389E-01 a        30     0     2     1    15
  6.4754244875945943E-01 a        31     0     3     1     1
  1.6109219224197158E-01 a        32     0     3     1     2
  5.9970619116390145E-01 a        33     0     3     1     3
 -3.7403198992509640E-01 a        34     0     3     1     4
 -9.8155171819552203E-02 a        35     0     3     1     5
 -5.0295932850376546E-01 a        36     0     3     1     6
  3.4443163292232820E-01 a        37     0     3     1     7
  7.7358050326411443E-01 a        38     0     3     1     8
  5.0984329750136859E-01 a        39     0     3     1     9
  1.6706550543737198E-01 a        40     0     3     1    10
 -1.9640637662060239E+00 a        41     0     3     1    11
  6.0040771371418267E-01 a        42     0     3     1    12
  7.8796151021163152E-01 a        43     0     3     1    13
 -1.6298958441475908E-01 a        44     0     3     1    14
  8.1009668228907694E-01 a        45     0     3     1    15
 -3.5568668285070704E-01 a        46     0     4     1     1
 -2.1596195597199699E-01 a        47     0     4     1     2
  4.8557278273441362E-02 a        48     0     4     1     3
 -6.2527434195922482E-01 a        49     0     4     1     4
  3.1959312638862458E-01 a        50     0     4     1     5
  5.6532100009721753E-01 a        51     0     4     1     6
 -1.6934232611414443E-01 a        52     0     4     1     7
 -1.6436117882320833E-01 a        53     0     4     1     8
 -2.4736148686637244E-01 a        54     0     4     1     9
 -1.7117052520456838E-01 a        55     0     4     1    10
  5.5950273581805066E-01 a        56     0     4     1    11
 -9.6586032055300419E-02 a        57     0     4     1    12
  2.7111706726325718E-01 a        58     0     4     1    13
 -2.7303729681159372E-01 a        59     0     4     1    14
  2.2018766711427967E-02 a        60     0     4     1    15
 -5.7445613700685771E-01 a        61     0     5     1     1
  8.0306737284209576E-02 a        62     0     5     1     2
 -2.0228093379713882E-01 a        63     0     5     1     3
  3.1100150652927749E-01 a        64     0     5     1     4
 -2.9803787617013128E-03 a        65     0     5     1     5
 -2.1192396793398077E-01 a        66     0     5     1     6
  5.8465755923622353E-01 a        67     0     5     1     7
