################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4467320697286326E-01 a         1     0     1     1     1
  1.5453460089334631E-01 a         2     0     1     1     2
 -1.5312912574672291E-01 a         3     0     1     1     3
 -1.7724400812798100E-01 a         4     0     1     1     4
  1.8558830386018951E-01 a         5     0     1     1     5
  6.5012734725373764E-02 a         6     0     1     1     6
 -1.1507410317621936E-01 a         7     0     1     1     7
  9.8559258021811789E-03 a         8     0     1     1     8
  2.0021404659798975E-02 a         9     0     1     1     9
 -1.7629422188201860E-01 a        10     0     1     1    10
  7.6609602799653495E-02 a        11     0     1     1    11
 -2.4719239181043356E-01 a        12     0     1     1    12
 -4.5317956765939540E-02 a        13     0     1     1    13
  9.4729745231617285E-02 a        14     0     1     1    14
 -2.7136636613318440E-02 a        15     0     1     1    15
 -1.7587616457123478E-01 a        16     0     2     1     1
 -1.0201443615973280E-01 a        17     0     2     1     2
 -1.9525609815535114E-01 a        18     0     2     1     3
 -1.9361969338715677E-02 a        19     0     2     1     4
  1.5187142839788981E-01 a        20     0     2     1     5
 -7.9713789820710229E-02 a        21     0     2     1     6
 -1.3299172689587574E-01 a        22     0     2     1     7
  3.4709658107162207E-02 a        23     0     2     1     8
  1.6878446689509885E-01 a        24     0     2     1     9
  1.4294365236930476E-01 a        25     0     2     1    10
 -2.3988892305225640E-01 a        26     0     2     1    11
 -8.6669882989213159E-02 a        27     0     2     1    12
  2.4618242861875336E-01 a        28     0     2     1    13
 -5.9622129150126539E-02 a        29     0     2     1    14
  1.1638346193047568E-01 a        30     0     2     1    15
 -6.3919148992206548E-02 a        31     0     3     1     1
 -1.2873272965583504E-01 a        32     0     3     1     2
  1.5377755448956670E-01 a        33     0     3     1     3
  1.6589422160770282E-02 a        34     0     3     1     4
 -1.0250141467692633E-01 a        35     0     3     1     5
  2.1705456262403883E-01 a        36     0     3     1     6
  1.9131711893003978E-01 a        37     0     3     1     7
 -1.4749872834966260E-01 a        38     0     3     1     8
  8.1150493110657321E-02 a        39     0     3     1     9
 -2.6485302166595753E-01 a        40     0     3     1    10
 -6.8507079960188122E-02 a        41     0     3     1    11
  6.5143677246136150E-02 a        42     0     3     1    12
  2.9673666705666257E-01 a        43     0     3     1    13
  7.7383315081013676E-02 a        44     0     3     1    14
  6.3100615745479080E-02 a        45     0     3     1    15
 -1.7284184657590576E-01 a        46     0     4     1     1
  5.2621033708316008E-02 a        47     0     4     1     2
  1.2288224078117818E-01 a        48     0     4     1     3
 -1.1713770631514635E-01 a        49     0     4     1     4
  9.3702421178745686E-03 a        50     0     4     1     5
 -5.5475300717837656E-02 a        51     0     4     1     6
 -6.4103861326983536E-02 a        52     0     4     1     7
 -8.2401973083545174E-02 a        53     0     4     1     8
 -1.1210852696577621E-01 a        54     0     4     1     9
  1.1853018124644901E-01 a        55     0     4     1    10
  1.9586019310400626E-01 a        56     0     4     1    11
 -1.2008298215976521E-01 a        57     0     4     1    12
  8.4487472279644329E-02 a        58     0     4     1    13
 -3.2708253968284709E-02 a        59     0     4     1    14
  2.5391753303349729E-01 a        60     0     4     1    15
  7.7151618780969253E-02 a        61     0     5     1     1
  8.6426491572988248E-02 a        62     0     5     1     2
 -1.0814052733245986E-02 a        63     0     5     1     3
 -1.6447431666724097E-01 a        64     0     5     1     4
 -6.6398873973494754E-02 a        65     0     5     1     5
  1.0482696317051918E-01 a        66     0     5     1     6
 -5.8894389539265089E-02 a        67     0     5     1     7
  1.3823427199792329E-01 a        68     0     5     1     8
  1.6451422409483907E-01 a        69     0     5     1     9
 -9.3155407610632374E-02 a        70     0     5     1    10
  1.4192711484840403E-03 a        71     0     5     1    11
  1.1649547344281179E-01 a        72     0     5     1    12
 -5.7191896407906499E-02 a        73     0     5     1    13
 -1.7966410497071067E-01 a        74     0     5     1    14
  2.0595900702659231E-01 a        75     0     5     1    15
  1.9880573012621378E-01 a        76     0     6     1     1
  2.5189050410660779E-01 a        77     0     6     1     2
 -5.4218512574819203E-02 a        78     0     6     1     3
 -1.9981787835846537E-01 a        79     0     6     1     4
  5.2713144057267389E-02 a        80     0     6     1     5
 -5.4785796239753513E-02 a        81     0     6     1     6
  3.0229591477531481E-01 a        82     0     6     1     7
  7.1784466980418168E-02 a        83     0     6     1     8
 -2.3051257069448390E-02 a        84     0     6     1     9
 -9.4121527081469911E-02 a        85     0     6     1    10
  1.0165359574325993E-01 a        86     0     6     1    11
  4.9569467475663910E-02 a        87     0     6     1    12
 -5.9244156002668420E-02 a        88     0     6     1    13
 -2.3884878820633543E-01 a        89     0     6     1    14
 -1.4919396322175002E-01 a        90     0     6     1    15
  5.1611680972730049E-02 a        91     0     7     1     1
 -7.9729151046019978E-02 a        92     0     7     1     2
 -5.1169652544339320E-02 a        93     0     7     1     3
 -1.1620825381923605E-01 a        94     0     7     1     4
  1.0798236833308804E-01 a        95     0     7     1     5
 -9.9186946720450683E-02 a        96     0     7     1     6
 -1.4157925923021958E-01 a        97     0     7     1     7
 -2.8241612405562423E-02 a        98     0     7     1     8
 -7.3322745806520817E-02 a        99     0     7     1     9
 -2.5131847712837772E-03 a       100     0     7     1    10
 -1.6269570723886662E-01 a       101     0     7     1    11
  1.3118547207053469E-01 a       102     0     7     1    12
  1.0137765705414886E-01 a       103     0     7     1    13
  1.6252064601105809E-01 a       104     0     7     1    14
 -1.8097633727690127E-01 a       105     0     7     1    15
  3.7646997142430506E-02 a       106     0     8     1     1
 -1.2339163086221591E-01 a       107     0     8     1     2
  6.8956726726742829E-02 a       108     0     8     1     3
  2.4847692169215771E-01 a       109     0     8     1     4
 -6.5857358577467606E-02 a       110     0     8     1     5
  6.3102004839544465E-02 a       111     0     8     1     6
  1.3288191217086642E-01 a       112     0     8     1     7
 -4.0619610641663612E-02 a       113     0     8     1     8
 -7.7335796740164900E-02 a       114     0     8     1     9
  4.9700785987746320E-02 a       115     0     8     1    10
 -1.3796702105524800E-01 a       116     0     8     1    11
 -1.7339712644010633E-02 a       117     0     8     1    12
  1.6282707752142031E-01 a       118     0     8     1    13
  7.0631227910600197E-02 a       119     0     8     1    14
  1.4039139064165382E-01 a       120     0     8     1    15
 -1.7044285262555725E-01 a       121     0     9     1     1
  1.7491779432415858E-01 a       122     0     9     1     2
 -2.3622767847635195E-01 a       123     0     9     1     3
  1.0510379018923909E-01 a       124     0     9     1     4
 -1.8150849627449928E-01 a       125     0     9     1     5
 -6.5578377184364420E-02 a       126     0     9     1     6
 -5.5168786108697521E-02 a       127     0     9     1     7
  2.1158182305248080E-01 a       128     0     9     1     8
  1.2328559931886915E-01 a       129     0     9     1     9
  2.4892914947825423E-01 a       130     0     9     1    10
  8.8090734059355899E-02 a       131     0     9     1    11
 -5.6070712577523066E-02 a       132     0     9     1    12
  3.6080477494755743E-02 a       133     0     9     1    13
  1.2750896538692949E-02 a       134     0     9     1    14
 -8.1014414790088599E-02 a       135     0     9     1    15
 -7.8331276928752372E-02 a       136     0    10     1     1
 -1.2331279578384199E-01 a       137     0    10     1     2
  1.3964480025418782E-01 a       138     0    10     1     3
  2.0293030795415676E-01 a       139     0    10     1     4
  1.1442755817068756E-01 a       140     0    10     1     5
 -1.7964105405408198E-01 a       141     0    10     1     6
  2.2888748340804757E-01 a       142     0    10     1     7
 -2.7654970863258715E-01 a       143     0    10     1     8
  2.7262460041187697E-01 a       144     0    10     1     9
 -1.6531195671246723E-01 a       145     0    10     1    10
  4.4711229847355385E-02 a       146     0    10     1    11
  1.0987663207052756E-01 a       147     0    10     1    12
 -1.0542668552421179E-01 a       148     0    10     1    13
  1.5800030715409102E-01 a       149     0    10     1    14
 -2.3602804268014138E-01 a       150     0    10     1    15
 -3.1337054690729539E-02 a       151     0    11     1     1
  1.6870077840361516E-01 a       152     0    11     1     2
  9.9334836279708225E-02 a       153     0    11     1     3
  2.8390946994688093E-01 a       154     0    11     1     4
  5.2279677420827370E-02 a       155     0    11     1     5
 -8.8799149483405004E-02 a       156     0    11     1     6
 -1.0373558584434432E-01 a       157     0    11     1     7
  2.8844712246684096E-01 a       158     0    11     1     8
 -5.9676700803518994E-02 a       159     0    11     1     9
  2.1246866833320321E-01 a       160     0    11     1    10
  1.2548318913292361E-01 a       161     0    11     1    11
  9.8479876754355850E-02 a       162     0    11     1    12
  1.9110062099484926E-01 a       163     0    11     1    13
 -1.0954160582555250E-01 a       164     0    11     1    14
 -9.9078159371750029E-03 a       165     0    11     1    15
 -1.1923200104561786E-01 a       166     0    12     1     1
 -1.2998335966212221E-01 a       167     0    12     1     2
 -2.1754736067034104E-02 a       168     0    12     1     3
  1.6372646540064720E-01 a       169     0    12     1     4
 -4.0645616634182105E-02 a       170     0    12     1     5
 -1.3324708182679207E-01 a       171     0    12     1     6
  2.0647711546198802E-01 a       172     0    12     1     7
  1.1955551900428082E-01 a       173     0    12     1     8
 -4.3560774758172216E-02 a       174     0    12     1     9
 -1.3333366227739760E-01 a       175     0    12     1    10
  1.1789186456115337E-02 a       176     0    12     1    11
  2.0780501568776932E-01 a       177     0    12     1    12
  2.4005018906406508E-01 a       178     0    12     1    13
 -1.4267540253774408E-01 a       179     0    12     1    14
  2.5372477558057149E-01 a       180     0    12     1    15
  2.2782177874648787E-01 a       181     0    13     1     1
 -1.2585869348446921E-01 a       182     0    13     1     2
  3.9474554158916500E-02 a       183     0    13     1     3
 -2.0465473826661948E-01 a       184     0    13     1     4
  4.8952950116305252E-02 a       185     0    13     1     5
 -2.0520461803724466E-01 a       186     0    13     1     6
 -1.4493293752724962E-01 a       187     0    13     1     7
 -5.0402390379563712E-02 a       188     0    13     1     8
 -5.2512358529421467E-02 a       189     0    13     1     9
  1.8721175941145735E-01 a       190     0    13     1    10
 -5.8989714520949851E-02 a       191     0    13     1    11
 -2.1745427597360498E-01 a       192     0    13     1    12
  1.2960651546548307E-02 a       193     0    13     1    13
  7.1875390584725043E-02 a       194     0    13     1    14
 -1.1149769215322949E-01 a       195     0    13     1    15
  9.5432616597700637E-02 a       196     0    14     1     1
 -8.6427028444532775E-02 a       197     0    14     1     2
 -1.9138003252944949E-01 a       198     0    14     1     3
  1.1403009945310903E-01 a       199     0    14     1     4
 -1.7152005191925099E-01 a       200     0    14     1     5
 -1.8945892073397172E-01 a       201     0    14     1     6
 -1.7895714982493732E-02 a       202     0    14     1     7
  1.3217745459517749E-01 a       203     0    14     1     8
 -1.3774390030181505E-01 a       204     0    14     1     9
  8.3566322889231433E-03 a       205     0    14     1    10
 -2.6442628915569738E-01 a       206     0    14     1    11
  9.1803790409685615E-02 a       207     0    14     1    12
  1.2788999428810760E-01 a       208     0    14     1    13
 -1.3562673299265310E-01 a       209     0    14     1    14
  2.4006833663937490E-02 a       210     0    14     1    15
  2.5328611814824553E-01 a       211     0    15     1     1
  9.2481742701633465E-02 a       212     0    15     1     2
 -7.2739156014673664E-02 a       213     0    15     1     3
  2.4903113419020934E-01 a       214     0    15     1     4
 -1.9025721479635488E-01 a       215     0    15     1     5
 -1.7732118051733026E-01 a       216     0    15     1     6
 -7.2108843438127387E-02 a       217     0    15     1     7
 -6.3077365827604384E-02 a       218     0    15     1     8
  3.5263371912353202E-02 a       219     0    15     1     9
 -1.6174221648326875E-01 a       220     0    15     1    10
 -7.1332695657726469E-03 a       221     0    15     1    11
  4.7591035172472207E-02 a       222     0    15     1    12
  1.6692869871823010E-01 a       223     0    15     1    13
 -1.5802786732614210E-01 a       224     0    15     1    14
  1.8563424589413388E-01 a       225     0    15     1    15
 -1.8405478372530143E-01 a       226     0    16     1     1
 -5.0063867016539670E-02 a       227     0    16     1     2
 -8.6711729774705065E-02 a       228     0    16     1     3
  1.8325641861908651E-01 a       229     0    16     1     4
 -1.2034322975462756E-02 a       230     0    16     1     5
  3.6891596539673062E-02 a       231     0    16     1     6
  1.9205425844577160E-02 a       232     0    16     1     7
 -8.6928340509124288E-03 a       233     0    16     1     8
 -4.8612019785853749E-02 a       234     0    16     1     9
  1.8348867383172116E-01 a       235     0    16     1    10
 -3.4038884168740020E-02 a       236     0    16     1    11
  2.2077011585570822E-02 a       237     0    16     1    12
  3.5630171929201822E-02 a       238     0    16     1    13
 -1.9941808482556406E-01 a       239     0    16     1    14
 -8.5384351626391991E-02 a       240     0    16     1    15
 -3.3336125746576128E-03 a       241     0    17     1     1
 -2.2299424307509097E-01 a       242     0    17     1     2
  1.4924639349473506E-01 a       243     0    17     1     3
  1.1967076808506696E-01 a       244     0    17     1     4
 -1.8008379605790575E-01 a       245     0    17     1     5
 -1.7628097692148315E-01 a       246     0    17     1     6
  2.7807076406313591E-01 a       247     0    17     1     7
 -3.5551621070005113E-01 a       248     0    17     1     8
 -3.3158012680966942E-01 a       249     0    17     1     9
  3.0625696194615217E-02 a       250     0    17     1    10
  1.6498185740499777E-01 a       251     0    17     1    11
 -1.6687350866998027E-01 a       252     0    17     1    12
 -1.2940932048731621E-01 a       253     0    17     1    13
 -2.2491577396039014E-01 a       254     0    17     1    14
  7.7090565761032417E-02 a       255     0    17     1    15
  2.7613881688527159E-01 a       256     0    18     1     1
  2.2317059345896456E-01 a       257     0    18     1     2
  1.7189582223823291E-01 a       258     0    18     1     3
  7.3166503941122660E-02 a       259     0    18     1     4
 -2.3828631055301341E-01 a       260     0    18     1     5
 -1.7371640133228552E-01 a       261     0    18     1     6
  1.3743320867084097E-01 a       262     0    18     1     7
  1.1769141395141255E-01 a       263     0    18     1     8
  1.1286360446365200E-01 a       264     0    18     1     9
 -7.2862660536233789E-02 a       265     0    18     1    10
  1.6473326241553146E-01 a       266     0    18     1    11
