################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1810477009835305E-01 a         1     0     1     1     1
 -7.3744832311031516E-02 a         2     0     1     1     2
 -9.8181638725033535E-02 a         3     0     1     1     3
 -2.8021626146812006E-01 a         4     0     1     1     4
 -6.1769370384310698E-02 a         5     0     1     1     5
  1.1499639426301683E-01 a         6     0     1     1     6
  3.6713883208288223E-02 a         7     0     1     1     7
 -2.3127528840149247E-01 a         8     0     1     1     8
  1.8734240664829627E-01 a         9     0     1     1     9
  1.9185087198260378E-01 a        10     0     1     1    10
  1.4773643186080601E-01 a        11     0     1     1    11
 -1.3575349322350766E-01 a        12     0     1     1    12
 -1.4803153740325842E-01 a        13     0     1     1    13
 -1.1962485647682540E-01 a        14     0     1     1    14
 -1.4904176493798510E-01 a        15     0     1     1    15
 -8.4814770531141930E-03 a        16     0     2     1     1
 -9.3710981330372034E-02 a        17     0     2     1     2
 -2.0411008883294479E-01 a        18     0     2     1     3
 -2.7091693402713810E-02 a        19     0     2     1     4
  7.0996858076403116E-02 a        20     0     2     1     5
  2.1995565076668923E-02 a        21     0     2     1     6
  1.6899328731359176E-01 a        22     0     2     1     7
 -1.4802995337520861E-01 a        23     0     2     1     8
 -3.1939441164610571E-01 a        24     0     2     1     9
 -1.0619137521485623E-01 a        25     0     2     1    10
 -1.5907634586080460E-01 a        26     0     2     1    11
 -2.1169592310765797E-01 a        27     0     2     1    12
 -8.8922412883031418E-02 a        28     0     2     1    13
 -2.1680983987702987E-01 a        29     0     2     1    14
 -1.7415258350904028E-01 a        30     0     2     1    15
 -5.1063699279945522E-03 a        31     0     3     1     1
  2.0340978938604859E-01 a        32     0     3     1     2
 -8.4519349157647777E-02 a        33     0     3     1     3
 -7.0510557304314700E-02 a        34     0     3     1     4
  2.3229680943456843E-01 a        35     0     3     1     5
 -2.2705947537979079E-02 a        36     0     3     1     6
 -2.5205595480268230E-03 a        37     0     3     1     7
 -2.7287773287946454E-01 a        38     0     3     1     8
  6.4522835520855415E-02 a        39     0     3     1     9
 -9.9646746561763797E-02 a        40     0     3     1    10
  2.1201252622295749E-01 a        41     0     3     1    11
 -1.5469248062276053E-01 a        42     0     3     1    12
 -1.0662993632130677E-01 a        43     0     3     1    13
  1.5823658936635499E-02 a        44     0     3     1    14
 -1.2400430457597625E-02 a        45     0     3     1    15
 -1.0747065585329084E-01 a        46     0     4     1     1
  2.5571741914635743E-01 a        47     0     4     1     2
  2.1641698835286316E-01 a        48     0     4     1     3
 -1.8116483561568519E-01 a        49     0     4     1     4
  6.1603446509151914E-02 a        50     0     4     1     5
  2.1032135431390850E-01 a        51     0     4     1     6
  2.5297597189263787E-01 a        52     0     4     1     7
  2.6682114067458466E-02 a        53     0     4     1     8
 -6.4134607621976827E-02 a        54     0     4     1     9
 -1.0766169493510132E-01 a        55     0     4     1    10
 -1.2737536591018878E-01 a        56     0     4     1    11
 -1.1083842879036288E-01 a        57     0     4     1    12
 -5.3696321731634911E-02 a        58     0     4     1    13
 -3.1698410369203943E-03 a        59     0     4     1    14
  1.1080645658944380E-02 a        60     0     4     1    15
  4.4134026574394400E-02 a        61     0     5     1     1
 -4.9047215360690948E-02 a        62     0     5     1     2
  3.3115085074499832E-02 a        63     0     5     1     3
 -1.7019508916666082E-01 a        64     0     5     1     4
  1.0042815431703517E-01 a        65     0     5     1     5
 -2.6778262482175200E-02 a        66     0     5     1     6
 -6.3298426387860943E-02 a        67     0     5     1     7
  3.7860055453760526E-02 a        68     0     5     1     8
 -1.3628605820612333E-01 a        69     0     5     1     9
  9.1117164759853070E-02 a        70     0     5     1    10
  7.7651330033886981E-02 a        71     0     5     1    11
 -8.2864926225127297E-02 a        72     0     5     1    12
 -1.9052073645573833E-01 a        73     0     5     1    13
  2.5268596002897899E-03 a        74     0     5     1    14
  1.6050620542081212E-01 a        75     0     5     1    15
  2.2322097584343979E-02 a        76     0     6     1     1
  1.2881138050816310E-02 a        77     0     6     1     2
  3.9685700783480000E-02 a        78     0     6     1     3
  2.3028843844110050E-01 a        79     0     6     1     4
 -2.1350062331395295E-01 a        80     0     6     1     5
  4.7600907837708019E-02 a        81     0     6     1     6
 -4.1720166796347893E-02 a        82     0     6     1     7
 -1.5425669821593710E-01 a        83     0     6     1     8
 -9.8635394992202946E-02 a        84     0     6     1     9
 -7.9258478922256445E-02 a        85     0     6     1    10
 -1.3264867306017699E-02 a        86     0     6     1    11
  2.1094765211132394E-01 a        87     0     6     1    12
  5.0201928583199322E-02 a        88     0     6     1    13
 -1.2290790616085996E-02 a        89     0     6     1    14
  9.0483611916050935E-02 a        90     0     6     1    15
  1.4855674253488341E-02 a        91     0     7     1     1
  1.5342214671751672E-01 a        92     0     7     1     2
 -1.6919005545343233E-02 a        93     0     7     1     3
  2.1603321467461695E-01 a        94     0     7     1     4
 -2.3876657569778950E-01 a        95     0     7     1     5
 -2.6687532910187162E-01 a        96     0     7     1     6
 -2.3591115780312302E-01 a        97     0     7     1     7
  4.4766690031162765E-02 a        98     0     7     1     8
 -5.8195460967055843E-02 a        99     0     7     1     9
 -1.2349776828664742E-01 a       100     0     7     1    10
 -1.2467746317620175E-01 a       101     0     7     1    11
 -8.4444546900323183E-03 a       102     0     7     1    12
  1.0072149883822357E-01 a       103     0     7     1    13
 -2.3219262602295720E-01 a       104     0     7     1    14
  4.8479077626571242E-02 a       105     0     7     1    15
 -5.2964085551756697E-02 a       106     0     8     1     1
  1.3477298332011656E-01 a       107     0     8     1     2
 -3.4110445558176848E-02 a       108     0     8     1     3
 -4.3246353079312259E-02 a       109     0     8     1     4
 -5.1753700120970886E-02 a       110     0     8     1     5
  1.4817898910699356E-01 a       111     0     8     1     6
 -5.8692698595724388E-02 a       112     0     8     1     7
 -2.8601863161605628E-01 a       113     0     8     1     8
  2.5580919684280373E-01 a       114     0     8     1     9
  7.1575844133795169E-02 a       115     0     8     1    10
 -6.7499630503335767E-02 a       116     0     8     1    11
 -2.6722316158131781E-01 a       117     0     8     1    12
  5.1576779105354388E-02 a       118     0     8     1    13
  1.5933133842788330E-01 a       119     0     8     1    14
 -1.2468314279129174E-01 a       120     0     8     1    15
  1.9823869940256778E-01 a       121     0     9     1     1
 -2.7622821854890506E-01 a       122     0     9     1     2
  2.1255997230797577E-01 a       123     0     9     1     3
  2.0093243368640099E-01 a       124     0     9     1     4
 -2.6201547215829168E-01 a       125     0     9     1     5
 -1.1177166586731291E-01 a       126     0     9     1     6
 -2.0841751489106675E-01 a       127     0     9     1     7
  4.8175737031658498E-02 a       128     0     9     1     8
  9.0577104295811880E-02 a       129     0     9     1     9
  1.5365054244388454E-01 a       130     0     9     1    10
  1.5792724371778941E-01 a       131     0     9     1    11
  2.0862383908615659E-01 a       132     0     9     1    12
