################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.9216694355528466E-01 a         1     0     1     1     1
 -6.8668950836806219E-03 a         2     0     1     1     2
 -2.4761436306431532E-03 a         3     0     1     1     3
 -1.9376715471010633E-01 a         4     0     1     1     4
  2.6207636099880083E-01 a         5     0     1     1     5
 -6.4518439108733436E-02 a         6     0     1     1     6
 -7.7361905875157011E-02 a         7     0     1     1     7
  1.5606601739305451E-01 a         8     0     1     1     8
  2.8928132264662149E-01 a         9     0     1     1     9
  1.2523478984089786E-01 a        10     0     1     1    10
  1.4041383604475258E-01 a        11     0     1     1    11
 -1.2308963238367096E-01 a        12     0     1     1    12
 -1.0757201243226457E-01 a        13     0     1     1    13
 -4.8811249378592830E-03 a        14     0     1     1    14
 -6.6959267663870808E-02 a        15     0     1     1    15
 -3.0668121118173036E-01 a        16     0     2     1     1
 -7.7463056071556180E-02 a        17     0     2     1     2
 -8.3842556822542214E-02 a        18     0     2     1     3
 -1.3310198668610068E-01 a        19     0     2     1     4
 -5.0364926500465368E-02 a        20     0     2     1     5
 -1.9056188787225935E-02 a        21     0     2     1     6
  1.4217954450547984E-01 a        22     0     2     1     7
  2.5208440589343056E-01 a        23     0     2     1     8
 -4.1298305561902867E-03 a        24     0     2     1     9
 -2.3372729108653029E-01 a        25     0     2     1    10
 -4.2469337597875974E-02 a        26     0     2     1    11
 -6.7504390479636772E-02 a        27     0     2     1    12
 -8.6437700935778239E-02 a        28     0     2     1    13
  7.9609387288087502E-02 a        29     0     2     1    14
 -2.5172169230182889E-01 a        30     0     2     1    15
 -1.2277753126244595E-01 a        31     0     3     1     1
 -8.0571578442142106E-02 a        32     0     3     1     2
 -3.6382248116755764E-02 a        33     0     3     1     3
 -8.0336413441175869E-02 a        34     0     3     1     4
  1.2844335650308317E-01 a        35     0     3     1     5
 -1.4026496893532137E-01 a        36     0     3     1     6
 -8.8019925982556202E-02 a        37     0     3     1     7
 -2.1363617593940076E-01 a        38     0     3     1     8
  2.3804351836769760E-01 a        39     0     3     1     9
 -2.9016318446887779E-01 a        40     0     3     1    10
 -1.4425901404009198E-01 a        41     0     3     1    11
 -1.8049978097510852E-01 a        42     0     3     1    12
 -2.4499598004631862E-01 a        43     0     3     1    13
  1.8295373235363463E-01 a        44     0     3     1    14
  2.6267587399934561E-03 a        45     0     3     1    15
  1.2315819059033750E-01 a        46     0     4     1     1
  3.0279046627444014E-02 a        47     0     4     1     2
  2.1208371940663781E-01 a        48     0     4     1     3
 -3.3455051614611889E-02 a        49     0     4     1     4
 -4.0253203692899836E-02 a        50     0     4     1     5
 -7.2145199648237660E-03 a        51     0     4     1     6
 -1.3254020177211850E-01 a        52     0     4     1     7
 -1.1803538057913402E-03 a        53     0     4     1     8
 -2.7583107908799503E-01 a        54     0     4     1     9
 -2.6731701931418034E-01 a        55     0     4     1    10
  9.7937966334777235E-02 a        56     0     4     1    11
 -1.0664615630480648E-01 a        57     0     4     1    12
  9.9441361424850411E-02 a        58     0     4     1    13
  2.0808400686087675E-01 a        59     0     4     1    14
 -1.4612146363053677E-01 a        60     0     4     1    15
  1.7094050003320282E-01 a        61     0     5     1     1
  7.3397937368981439E-03 a        62     0     5     1     2
  1.8541749994841628E-01 a        63     0     5     1     3
 -9.6739954714302918E-03 a        64     0     5     1     4
  1.5821730160469526E-02 a        65     0     5     1     5
  2.0399924204849848E-01 a        66     0     5     1     6
  1.9544092529363447E-01 a        67     0     5     1     7
 -3.4705645241027774E-02 a        68     0     5     1     8
  6.3772462110080030E-02 a        69     0     5     1     9
  1.4189121957744161E-02 a        70     0     5     1    10
 -3.5196335895124081E-02 a        71     0     5     1    11
  2.2683803682765413E-01 a        72     0     5     1    12
  9.9860883387240792E-02 a        73     0     5     1    13
 -2.0358846817311457E-01 a        74     0     5     1    14
  1.0692744584892182E-01 a        75     0     5     1    15
  1.4123873380465279E-01 a        76     0     6     1     1
 -7.2646999861782774E-03 a        77     0     6     1     2
  2.2539999968512642E-01 a        78     0     6     1     3
 -2.4838336229272934E-01 a        79     0     6     1     4
  1.7324027567428354E-01 a        80     0     6     1     5
  2.7587822206416642E-02 a        81     0     6     1     6
  9.9217080005672420E-02 a        82     0     6     1     7
 -1.3698969345332151E-01 a        83     0     6     1     8
 -1.5223242285602467E-01 a        84     0     6     1     9
 -6.3871433639358086E-02 a        85     0     6     1    10
  1.0524607176395116E-01 a        86     0     6     1    11
 -3.4612549495808498E-02 a        87     0     6     1    12
  7.5854064501355248E-02 a        88     0     6     1    13
  2.4741679379032225E-02 a        89     0     6     1    14
 -7.2017500621754812E-02 a        90     0     6     1    15
 -2.1878804567641852E-01 a        91     0     7     1     1
 -1.6963474526826566E-01 a        92     0     7     1     2
 -1.1642202893462771E-01 a        93     0     7     1     3
 -4.7993813474921508E-02 a        94     0     7     1     4
 -3.7465731986150372E-02 a        95     0     7     1     5
 -2.4401515977883653E-01 a        96     0     7     1     6
 -1.9595467006360717E-01 a        97     0     7     1     7
  5.2523232829550195E-02 a        98     0     7     1     8
 -2.4274235110907480E-01 a        99     0     7     1     9
  1.1349581278338962E-01 a       100     0     7     1    10
  7.2759296510845773E-03 a       101     0     7     1    11
  1.0263705054198848E-01 a       102     0     7     1    12
  2.4421579763724813E-01 a       103     0     7     1    13
 -7.2086881297634561E-02 a       104     0     7     1    14
 -2.7939569763662388E-02 a       105     0     7     1    15
  8.5691611633643652E-02 a       106     0     8     1     1
  1.4121915132488072E-01 a       107     0     8     1     2
 -1.2655711484748505E-01 a       108     0     8     1     3
  1.5680662238899251E-01 a       109     0     8     1     4
 -2.7018690922687183E-01 a       110     0     8     1     5
  2.8453887413384943E-01 a       111     0     8     1     6
  1.9935558504412029E-01 a       112     0     8     1     7
  1.9906877921700328E-01 a       113     0     8     1     8
  2.3240722593307273E-02 a       114     0     8     1     9
 -1.4630121759181210E-02 a       115     0     8     1    10
  2.2764826713140585E-01 a       116     0     8     1    11
  1.2820581339221693E-01 a       117     0     8     1    12
 -7.6376097839120055E-02 a       118     0     8     1    13
  3.1796403054452005E-03 a       119     0     8     1    14
 -1.2141222453533274E-02 a       120     0     8     1    15
  5.2904600196064730E-02 a       121     0     9     1     1
