################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1579236428348306E-01 a       117     0     8     1    12
  2.8497564962989219E-01 a       118     0     8     1    13
  1.0562704113769894E-01 a       119     0     8     1    14
 -2.5118742618283396E-01 a       120     0     8     1    15
 -8.4623179199377022E-02 a       121     0     9     1     1
  2.5770550965580730E-01 a       122     0     9     1     2
 -2.6132002901081454E-02 a       123     0     9     1     3
  2.2984513304811282E-02 a       124     0     9     1     4
  9.2242611416322187E-02 a       125     0     9     1     5
 -1.2237992503732165E-01 a       126     0     9     1     6
 -1.1476082563973149E-01 a       127     0     9     1     7
 -1.4560699707493838E-02 a       128     0     9     1     8
  1.5749163319197629E-01 a       129     0     9     1     9
  3.4377263481704384E-01 a       130     0     9     1    10
 -1.8748957022078525E-01 a       131     0     9     1    11
 -1.4016640499607063E-02 a       132     0     9     1    12
  5.2278662524209839E-02 a       133     0     9     1    13
  1.8259051526723121E-03 a       134     0     9     1    14
 -1.4897674370901912E-01 a       135     0     9     1    15
 -9.4857705382755272E-02 a       136     0    10     1     1
  9.0616637969805361E-02 a       137     0    10     1     2
  9.7490463731150612E-02 a       138     0    10     1     3
  1.3916885887130014E-02 a       139     0    10     1     4
  1.5764678286502187E-01 a       140     0    10     1     5
 -7.2232179280226058E-02 a       141     0    10     1     6
 -4.6856309251678604E-03 a       142     0    10     1     7
  1.1091712388435328E-01 a       143     0    10     1     8
  1.6339262491034318E-02 a       144     0    10     1     9
  9.8524075305361739E-02 a       145     0    10     1    10
 -1.5236065147455913E-01 a       146     0    10     1    11
 -1.5921691375199470E-01 a       147     0    10     1    12
 -1.8467402087907112E-01 a       148     0    10     1    13
 -2.8222787370407046E-03 a       149     0    10     1    14
  1.1645838803330521E-02 a       150     0    10     1    15
  1.1728827886344598E-01 a       151     0    11     1     1
 -1.2377434247327377E-02 a       152     0    11     1     2
  9.8744897979320748E-02 a       153     0    11     1     3
 -4.3924284063746565E-02 a       154     0    11     1     4
  1.9926428988292047E-01 a       155     0    11     1     5
  8.2555441716360645E-02 a       156     0    11     1     6
 -2.1945067144603392E-01 a       157     0    11     1     7
  1.7397628587530082E-02 a       158     0    11     1     8
  3.0786081716229940E-01 a       159     0    11     1     9
 -1.0477012772641611E-01 a       160     0    11     1    10
  9.2586816410819325E-02 a       161     0    11     1    11
  1.3022561036068880E-01 a       162     0    11     1    12
 -1.9317039919804230E-01 a       163     0    11     1    13
 -2.7929734894839803E-01 a       164     0    11     1    14
  2.7402844491765088E-01 a       165     0    11     1    15
 -1.3335078482955134E-01 a       166     0    12     1     1
  2.1246246263996491E-01 a       167     0    12     1     2
  1.8209830836352364E-01 a       168     0    12     1     3
 -4.1590345160316004E-02 a       169     0    12     1     4
  1.5287996999018871E-01 a       170     0    12     1     5
  1.9936425577995137E-01 a       171     0    12     1     6
  1.3512597512874508E-01 a       172     0    12     1     7
 -1.4762333107217113E-01 a       173     0    12     1     8
  3.7325862158463882E-02 a       174     0    12     1     9
  3.5979739112348380E-01 a       175     0    12     1    10
 -5.1499445542845454E-02 a       176     0    12     1    11
 -1.8154818577503304E-01 a       177     0    12     1    12
 -1.6679154455802855E-01 a       178     0    12     1    13
  1.8626541646003150E-01 a       179     0    12     1    14
  2.3573947636396292E-01 a       180     0    12     1    15
 -2.4252463714192235E-02 a       181     0    13     1     1
  1.7598263966068070E-01 a       182     0    13     1     2
  2.2091026597146021E-01 a       183     0    13     1     3
 -6.3085382790534203E-02 a       184     0    13     1     4
 -6.6237888955905794E-02 a       185     0    13     1     5
  2.3837922782231818E-01 a       186     0    13     1     6
 -5.8099617418155114E-02 a       187     0    13     1     7
 -2.1262876030220484E-01 a       188     0    13     1     8
  1.9950113359167010E-01 a       189     0    13     1     9
 -5.9190927222643318E-02 a       190     0    13     1    10
  1.1276023698367955E-01 a       191     0    13     1    11
 -9.6391759907216795E-02 a       192     0    13     1    12
  8.2691010655749145E-02 a       193     0    13     1    13
  5.9943090164179112E-02 a       194     0    13     1    14
  9.5735083746911795E-02 a       195     0    13     1    15
  9.5515035864630310E-02 a       196     0    14     1     1
 -1.2884126619564926E-01 a       197     0    14     1     2
  3.5691563526332799E-02 a       198     0    14     1     3
 -3.5032619976695561E-01 a       199     0    14     1     4
 -2.7777242741364538E-01 a       200     0    14     1     5
  1.3233929511664589E-02 a       201     0    14     1     6
 -5.7851371371049273E-02 a       202     0    14     1     7
  1.4407582008376510E-01 a       203     0    14     1     8
 -4.1583973806626137E-02 a       204     0    14     1     9
 -5.5585048538070309E-02 a       205     0    14     1    10
 -1.0906714570400876E-01 a       206     0    14     1    11
 -3.3465297459335080E-01 a       207     0    14     1    12
 -1.2212817145113361E-01 a       208     0    14     1    13
 -2.2865713987365519E-01 a       209     0    14     1    14
  2.5745583581919279E-01 a       210     0    14     1    15
  1.5019277007645787E-01 a       211     0    15     1     1
  8.3399521293261988E-02 a       212     0    15     1     2
 -8.5979747926568151E-02 a       213     0    15     1     3
  9.0797569656937360E-02 a       214     0    15     1     4
  2.0318857323791514E-01 a       215     0    15     1     5
 -1.1522078078406826E-01 a       216     0    15     1     6
 -1.8043983393307272E-01 a       217     0    15     1     7
  1.7782952058335705E-01 a       218     0    15     1     8
  1.7037242030188540E-02 a       219     0    15     1     9
 -1.8668133614657081E-01 a       220     0    15     1    10
  9.9385737389275558E-02 a       221     0    15     1    11
  5.9742543253027094E-02 a       222     0    15     1    12
 -1.1704561363109175E-01 a       223     0    15     1    13
  4.8772104310349888E-02 a       224     0    15     1    14
  1.9476270220616201E-01 a       225     0    15     1    15
  2.5528394367850071E-01 a       226     0    16     1     1
 -2.5562238465835713E-01 a       227     0    16     1     2
 -5.1946869574013559E-02 a       228     0    16     1     3
 -4.5018268513952013E-02 a       229     0    16     1     4
  7.0831641663226516E-02 a       230     0    16     1     5
 -3.0123575216042090E-02 a       231     0    16     1     6
 -2.2861080772036753E-02 a       232     0    16     1     7
  2.0636970195593554E-01 a       233     0    16     1     8
 -1.9920764569311195E-01 a       234     0    16     1     9
  1.6523827394350354E-01 a       235     0    16     1    10
 -2.8508292089718057E-01 a       236     0    16     1    11
  7.0304054839964306E-03 a       237     0    16     1    12
 -1.4511979347698333E-02 a       238     0    16     1    13
 -1.5629869136435559E-01 a       239     0    16     1    14
  1.0234589126311563E-01 a       240     0    16     1    15
  2.2547371173092971E-02 a       241     0    17     1     1
  2.6411720637320801E-01 a       242     0    17     1     2
  6.7889423249367281E-02 a       243     0    17     1     3
  1.0804433238481980E-03 a       244     0    17     1     4
 -2.4274108011648508E-02 a       245     0    17     1     5
  1.6366049919424905E-01 a       246     0    17     1     6
  1.6571174604270400E-01 a       247     0    17     1     7
 -7.7916082958949015E-02 a       248     0    17     1     8
 -1.2583800170278192E-01 a       249     0    17     1     9
 -4.0904380811126956E-03 a       250     0    17     1    10
 -6.0472237311363281E-02 a       251     0    17     1    11
  2.5098596513690480E-01 a       252     0    17     1    12
  1.5983780975471740E-01 a       253     0    17     1    13
 -3.5533325411104370E-02 a       254     0    17     1    14
