################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.7050950176959485E-01 a         1     0     1     1     1
 -2.4167775384655155E-01 a         2     0     1     1     2
  5.2745298517256711E-01 a         3     0     1     1     3
  1.3791091748991732E-02 a         4     0     1     1     4
 -1.4863439076330425E-03 a         5     0     1     1     5
  1.9673916566378680E-02 a         6     0     1     1     6
  3.0051042410595324E-01 a         7     0     1     1     7
  1.9508013269465585E-01 a         8     0     1     1     8
  2.6148062290391544E-01 a         9     0     1     1     9
 -2.3163079503302809E-02 a        10     0     1     1    10
  1.7230815500775154E-01 a        11     0     2     1     1
 -1.8694662760858125E-01 a        12     0     2     1     2
 -7.7514192662481496E-02 a        13     0     2     1     3
 -1.3179887951157745E-01 a        14     0     2     1     4
 -3.5204550455942474E-01 a        15     0     2     1     5
  4.1036649166053141E-01 a        16     0     2     1     6
  4.2472228350207036E-01 a        17     0     2     1     7
 -7.6461989537097305E-02 a        18     0     2     1     8
 -8.4958204551858998E-02 a        19     0     2     1     9
  9.3742939113634988E-02 a        20     0     2     1    10
  1.6363908330920879E-01 a        21     0     3     1     1
 -2.0099950626202581E-01 a        22     0     3     1     2
  4.9252387706888745E-01 a        23     0     3     1     3
 -2.2207183945037054E-01 a        24     0     3     1     4
 -3.2123891721426728E-01 a        25     0     3     1     5
  1.6554052409066580E-01 a        26     0     3     1     6
 -1.4692277422582878E-01 a        27     0     3     1     7
  2.6378321003676752E-01 a        28     0     3     1     8
 -7.5777793268752992E-03 a        29     0     3     1     9
 -1.2280273219010958E-01 a        30     0     3     1    10
  4.5352073863422729E-02 a        31     0     4     1     1
  5.5263281581587366E-02 a        32     0     4     1     2
 -1.5114261924284420E-01 a        33     0     4     1     3
  2.8327845331086066E-01 a        34     0     4     1     4
  3.1176682428018526E-01 a        35     0     4     1     5
  2.6079450316130431E-01 a        36     0     4     1     6
  3.8143989103272968E-01 a        37     0     4     1     7
 -5.1153338886066553E-02 a        38     0     4     1     8
  2.8955781314983681E-01 a        39     0     4     1     9
  4.3904998424868023E-02 a        40     0     4     1    10
  7.6018936655742530E-03 a        41     0     5     1     1
 -1.9065708065670893E-02 a        42     0     5     1     2
 -2.8462988397939504E-01 a        43     0     5     1     3
 -1.2013437263690993E-03 a        44     0     5     1     4
 -1.7880120987522155E-01 a        45     0     5     1     5
 -1.5984240549549869E-01 a        46     0     5     1     6
 -5.7512784328748734E-02 a        47     0     5     1     7
  5.8593298584380137E-02 a        48     0     5     1     8
  1.2730375657180837E-01 a        49     0     5     1     9
  1.9361636916471039E-01 a        50     0     5     1    10
  1.2085646750065970E-01 a        51     0     6     1     1
 -1.6962370543822874E-01 a        52     0     6     1     2
  3.2619189710504493E-01 a        53     0     6     1     3
 -1.6946267520473390E-01 a        54     0     6     1     4
 -3.0896199296662080E-01 a        55     0     6     1     5
 -2.1086915925757541E-01 a        56     0     6     1     6
  8.8619388350585623E-02 a        57     0     6     1     7
  1.9699310023034550E-01 a        58     0     6     1     8
 -1.1551484232107191E-01 a        59     0     6     1     9
 -2.0218427696348468E-01 a        60     0     6     1    10
 -4.1272537958835775E-01 a        61     0     7     1     1
  2.6157536134309850E-01 a        62     0     7     1     2
 -3.7631125369664301E-02 a        63     0     7     1     3
  1.2208580363474675E-01 a        64     0     7     1     4
  2.2945494085215581E-01 a        65     0     7     1     5
 -3.9891795665706165E-01 a        66     0     7     1     6
 -4.1344279848794147E-01 a        67     0     7     1     7
 -5.3818165639360004E-02 a        68     0     7     1     8
 -3.1685286742883151E-01 a        69     0     7     1     9
 -1.2008546935516069E-01 a        70     0     7     1    10
  2.9774532433478197E-02 a        71     0     8     1     1
  1.5130894774608469E-01 a        72     0     8     1     2
  3.1564920804058133E-01 a        73     0     8     1     3
 -6.7346912652799140E-01 a        74     0     8     1     4
  9.1120710840841557E-02 a        75     0     8     1     5
 -1.1008668592110109E-01 a        76     0     8     1     6
 -9.5291394245391361E-02 a        77     0     8     1     7
 -1.6423152119145426E-01 a        78     0     8     1     8
 -1.3955575171442408E-01 a        79     0     8     1     9
 -8.2887590078136925E-02 a        80     0     8     1    10
 -1.3441941113244071E-01 a        81     0     9     1     1
  1.2207288119847000E-01 a        82     0     9     1     2
 -1.9211832497597711E-01 a        83     0     9     1     3
  2.2518673205509984E-01 a        84     0     9     1     4
 -2.5379658802941771E-02 a        85     0     9     1     5
  2.9484438868980961E-01 a        86     0     9     1     6
  2.0668831041325217E-01 a        87     0     9     1     7
 -2.0005909516841838E-01 a        88     0     9     1     8
 -3.0393188069325994E-01 a        89     0     9     1     9
  1.3528198997928173E-01 a        90     0     9     1    10
  1.3592707520672575E-02 a        91     0    10     1     1
 -1.1348456359239305E-01 a        92     0    10     1     2
  4.0802307434912266E-01 a        93     0    10     1     3
 -1.3450231136666749E-01 a        94     0    10     1     4
  8.2560304190253814E-02 a        95     0    10     1     5
 -1.5858015676302631E-01 a        96     0    10     1     6
  1.0297966855541998E-01 a        97     0    10     1     7
  2.9065832593350337E-02 a        98     0    10     1     8
  2.6584962414485341E-01 a        99     0    10     1     9
  3.4744406914272730E-01 a       100     0    10     1    10
 -4.3274272260430346E-02 a       101     0    11     1     1
 -4.1575047721162767E-01 a       102     0    11     1     2
 -2.8648116075158281E-01 a       103     0    11     1     3
  2.7237174226651972E-01 a       104     0    11     1     4
  3.7163781248518718E-01 a       105     0    11     1     5
 -3.1469293025273670E-01 a       106     0    11     1     6
  2.4085888885001761E-01 a       107     0    11     1     7
 -8.9176922036169656E-02 a       108     0    11     1     8
  4.3695234037862355E-03 a       109     0    11     1     9
  1.0740573458267647E-01 a       110     0    11     1    10
  4.3406192643592995E-02 a       111     0    12     1     1
 -4.4970924156450300E-02 a       112     0    12     1     2
 -2.2195870826423350E-01 a       113     0    12     1     3
  2.8682383536066790E-02 a       114     0    12     1     4
  2.9087066899752800E-01 a       115     0    12     1     5
 -1.2685412955042150E-01 a       116     0    12     1     6
  1.6295252697946808E-01 a       117     0    12     1     7
  7.0090383863576369E-02 a       118     0    12     1     8
  8.0560734587595759E-02 a       119     0    12     1     9
 -3.1501656793269495E-02 a       120     0    12     1    10
  1.7236849401399240E-01 a       121     0    13     1     1
 -1.2016852850358721E-02 a       122     0    13     1     2
 -3.8919706852473607E-01 a       123     0    13     1     3
  1.7602131766504450E-01 a       124     0    13     1     4
 -2.4648952663899773E-01 a       125     0    13     1     5
  5.6454611873169891E-01 a       126     0    13     1     6
  4.0163009412613186E-02 a       127     0    13     1     7
 -1.1944115483122748E-02 a       128     0    13     1     8
  1.8172135666250766E-01 a       129     0    13     1     9
 -2.2078629869784438E-02 a       130     0    13     1    10
 -4.0130568160132697E-02 a       131     0    14     1     1
 -6.0308435418082243E-02 a       132     0    14     1     2
  4.7520016444285113E-01 a       133     0    14     1     3
 -1.7432034718239575E-01 a       134     0    14     1     4
 -1.5079595698761886E-01 a       135     0    14     1     5
  2.4621209666279192E-01 a       136     0    14     1     6
 -2.0674976087185637E-01 a       137     0    14     1     7
  1.3980177798575102E-02 a       138     0    14     1     8
  1.7276242101399544E-01 a       139     0    14     1     9
  3.9443814094841087E-02 a       140     0    14     1    10
 -1.4639541503277978E-01 a       141     0    15     1     1
 -3.9929079076280966E-01 a       142     0    15     1     2
  5.1444696801103207E-01 a       143     0    15     1     3
  1.8398827425014797E-01 a       144     0    15     1     4
 -1.7742055090817421E-01 a       145     0    15     1     5
 -2.3559533359470694E-01 a       146     0    15     1     6
 -6.7705827015211592E-02 a       147     0    15     1     7
  1.0653334877444748E-01 a       148     0    15     1     8
