################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3674062732841175E-01 a       117     0     8     1    12
 -1.8455244621309477E-01 a       118     0     8     1    13
  2.1123280806720965E-01 a       119     0     8     1    14
  1.1199959875789232E+00 a       120     0     8     1    15
 -3.1602863471504944E-01 a       121     0     9     1     1
 -1.0200279236261908E-01 a       122     0     9     1     2
 -1.1672169919527928E-01 a       123     0     9     1     3
 -2.3526312428668122E-01 a       124     0     9     1     4
  2.7778191736765229E-01 a       125     0     9     1     5
  8.9597587711995608E-01 a       126     0     9     1     6
 -2.1821208246954776E-01 a       127     0     9     1     7
  2.5236146529982717E-01 a       128     0     9     1     8
 -2.3850697557825490E-01 a       129     0     9     1     9
  5.1036668130171714E-02 a       130     0     9     1    10
  4.7994827606696788E-01 a       131     0     9     1    11
 -1.1392966208675421E+00 a       132     0     9     1    12
  2.7056907601838223E-02 a       133     0     9     1    13
  3.3849462619078724E-01 a       134     0     9     1    14
  2.8913219139550378E-01 a       135     0     9     1    15
  4.7178690495952919E-01 a       136     0    10     1     1
  1.1914599337157626E-01 a       137     0    10     1     2
  7.4793721703033958E-02 a       138     0    10     1     3
  2.1487112129738850E-01 a       139     0    10     1     4
  5.0890080187075415E-02 a       140     0    10     1     5
 -4.0275903192479234E-01 a       141     0    10     1     6
 -2.0507899338708160E-01 a       142     0    10     1     7
  3.6064406790434966E-01 a       143     0    10     1     8
 -1.2308538683199672E+00 a       144     0    10     1     9
 -5.9039232371095852E-02 a       145     0    10     1    10
  1.8108015803665398E-01 a       146     0    10     1    11
  4.3295587591151391E-01 a       147     0    10     1    12
 -4.8107347706172193E-01 a       148     0    10     1    13
 -4.7985653397595701E-01 a       149     0    10     1    14
 -6.7865855757392390E-01 a       150     0    10     1    15
  4.3469528244555983E-01 a       151     0    11     1     1
 -4.7384277158520755E-01 a       152     0    11     1     2
  7.8814754757495234E-02 a       153     0    11     1     3
  1.3559418130055911E-01 a       154     0    11     1     4
  2.4405161224988386E-01 a       155     0    11     1     5
  3.0509058408497141E-02 a       156     0    11     1     6
  3.1409414385548683E-04 a       157     0    11     1     7
 -2.5831026918914113E-01 a       158     0    11     1     8
 -1.2427800973096932E+00 a       159     0    11     1     9
  1.1022103775977565E+00 a       160     0    11     1    10
  1.3177089640272139E+00 a       161     0    11     1    11
 -1.2847425593922257E-01 a       162     0    11     1    12
  1.8927414413463370E-01 a       163     0    11     1    13
  7.0785311502700832E-01 a       164     0    11     1    14
