################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.7489547929165878E-02 a       117     0    12     1     7
  8.8742705961928781E-03 a       118     0    12     1     8
 -9.8132208632372764E-02 a       119     0    12     1     9
 -7.9200741705681393E-02 a       120     0    12     1    10
 -1.4931781351420823E-01 a       121     0    13     1     1
 -1.2471995421362843E-01 a       122     0    13     1     2
  7.3510980536812751E-03 a       123     0    13     1     3
  2.8168078328834289E-02 a       124     0    13     1     4
 -3.1303463493135358E-01 a       125     0    13     1     5
 -3.0462939567761838E-01 a       126     0    13     1     6
 -2.2991278820011571E-01 a       127     0    13     1     7
 -1.4566387005451395E-01 a       128     0    13     1     8
 -2.1222538146229644E-01 a       129     0    13     1     9
 -2.0842599794614233E-01 a       130     0    13     1    10
 -1.7450405743722702E-01 a       131     0    14     1     1
  2.4193366648651060E-01 a       132     0    14     1     2
  2.7023822917247697E-01 a       133     0    14     1     3
 -7.0103139530849025E-03 a       134     0    14     1     4
  2.4082266068367722E-01 a       135     0    14     1     5
 -4.6820040909981785E-02 a       136     0    14     1     6
  1.6738095036864611E-01 a       137     0    14     1     7
  4.5410330847151119E-02 a       138     0    14     1     8
  2.5421520424145604E-03 a       139     0    14     1     9
 -1.9880436081140207E-01 a       140     0    14     1    10
 -1.1231747093322962E-01 a       141     0    15     1     1
  3.6338136060352777E-01 a       142     0    15     1     2
  1.4492205333551347E-01 a       143     0    15     1     3
  9.8343508849400088E-02 a       144     0    15     1     4
  3.1699919981363756E-01 a       145     0    15     1     5
 -1.3298856013410307E-01 a       146     0    15     1     6
 -2.2629043365323512E-01 a       147     0    15     1     7
  7.7673386649558616E-03 a       148     0    15     1     8
 -2.0289906792794027E-01 a       149     0    15     1     9
 -1.4700253955261441E-01 a       150     0    15     1    10
 -1.1726505228435423E-01 a       151     0    16     1     1
  9.0969756420717945E-02 a       152     0    16     1     2
 -4.7330899643082909E-02 a       153     0    16     1     3
  8.9565280334456626E-02 a       154     0    16     1     4
 -9.6375268681690149E-02 a       155     0    16     1     5
 -2.4475787156365416E-02 a       156     0    16     1     6
  1.1057207156524635E-02 a       157     0    16     1     7
  9.0832602669040474E-02 a       158     0    16     1     8
 -5.5967212946654459E-02 a       159     0    16     1     9
 -1.1639010275639693E-01 a       160     0    16     1    10
  3.9750148515306127E-01 a       161     0    17     1     1
 -8.2945681691391701E-03 a       162     0    17     1     2
 -4.4546570800008184E-03 a       163     0    17     1     3
 -3.2198148203544691E-01 a       164     0    17     1     4
