################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         25   0.0000000000000000E+00   2.8969996017337329E-01   1.1134203081080996E-01   9.7820517316702160E-02
         2         26   0.0000000000000000E+00   4.5999446895490714E-01   1.1754186340243361E-01   9.0406677026036719E-02
         2         27   1.0942802370529855E-03   7.7097799570856745E-02   3.5080633019580768E-02   2.0010745287318710E-02
         2         28   0.0000000000000000E+00   1.5593225721969908E-02   4.6663921677827713E-03   4.3676931390955551E-03
         2         29   1.0683136361594170E-09   2.8042426917539317E-03   1.8256944364699015E-04   1.4841572906244084E-04
         2         30   0.0000000000000000E+00   3.0380565766455286E-01   6.4009360076493604E-02   6.8014951394123932E-02
         2         31   0.0000000000000000E+00   1.5156557357900205E-01   3.2245908937300949E-02   2.7665329816839668E-02
         2         32   0.0000000000000000E+00   2.7964406873975878E-02   6.9662409145031228E-03   7.1751288901306083E-03
         2         33   9.2845035366760924E-04   9.7858977189858837E-02   4.3308881456739605E-02   2.6002913953441370E-02
         2         34   5.2946598806158654E-06   4.9825020723632584E-03   1.2689892242554767E-03   8.4057695550829336E-04
         2         35   4.6639906377461726E-10   1.8523976333000380E-03   9.0984069681115189E-05   7.5197034606585181E-05
         2         36   0.0000000000000000E+00   3.8651584306656793E-02   1.5491070061870881E-02   1.3165380738334714E-02
         2         37   0.0000000000000000E+00   1.9102839269633531E-03   3.8829581528668341E-04   3.6376561515247789E-04
         2         38   0.0000000000000000E+00   1.3919291989731808E-01   2.0462902976534098E-02   2.2272524501823092E-02
         2         39   0.0000000000000000E+00   9.2305076382137915E-03   2.7945484651824759E-03   2.5951458911309291E-03
         2         40   0.0000000000000000E+00   9.4184504719244180E-02   1.8482725709499690E-02   1.5817218150941566E-02
         2         41   0.0000000000000000E+00   3.6710704140641218E-02   1.2941056886140364E-02   1.1631331195951741E-02
         2         42   0.0000000000000000E+00   5.3681373337280278E-02   5.4331309374413203E-03   6.1905224583687496E-03
         2         43   0.0000000000000000E+00   8.8249369951001603E-04   1.6494469121979059E-04   1.6271672103759127E-04
         2         44   0.0000000000000000E+00   5.0076549274695403E-02   1.0321582741385452E-02   9.2358335632067110E-03
         2         45   0.0000000000000000E+00   5.2730244666248803E-04   5.0808921542380627E-07   1.6251962789316322E-06
         2         46   0.0000000000000000E+00   1.1960721438734445E-03   1.9641045881158678E-05   2.7194149437245890E-05
         2         47   0.0000000000000000E+00   1.1272706382211039E-04   3.5245755939378572E-08   2.4327230868165902E-07
         3          1   1.1618103874183656E+00   2.0890280105039984E+00   1.8204306827271581E+00   1.2024437713971854E-01
         3          2   0.0000000000000000E+00   1.4349807656200799E+00   2.5561011103443210E-01   2.5391097334201307E-01
         3          3   1.0456766777281186E+00   1.8509871889918315E+00   1.6142323641065761E+00   1.0405867747574209E-01
         3          4   0.0000000000000000E+00   8.5450182634717087E-01   1.3409910241455433E-01   1.4165966880225656E-01
         3          5   0.0000000000000000E+00   5.3315727264123669E-01   7.6459776735958218E-02   8.4923859445538610E-02
         3          6   4.5367472268900665E-03   9.0245713539479064E-02   4.1999433756720814E-02   9.0878582861994069E-03
         3          7   5.2345236644772361E-04   2.5703875077057733E-02   9.6327838684489870E-03   2.4300611196931155E-03
         3          8   0.0000000000000000E+00   1.2114533677061386E-02   1.6800457432539391E-04   2.9527586767876749E-04
         3          9   0.0000000000000000E+00   6.2503063008809522E-05   2.1773844851037455E-08   3.1223925420309901E-07
         3         10   0.0000000000000000E+00   1.5145654915447893E-01   2.2117273883062311E-02   2.4077197513005202E-02
         3         11   4.9485950454360175E-02   1.3663169977914646E-01   1.0401136674859460E-01   1.1293664801319223E-02
         3         12   2.8584362384086498E-03   6.5174323238882392E-02   3.4335771459850423E-02   8.4220654019039991E-03
         3         13   0.0000000000000000E+00   4.7967203122324259E-01   7.5537715278278614E-02   7.7712182618967576E-02
         3         14   0.0000000000000000E+00   3.9070261231467208E-02   8.1203827635374128E-03   6.9579695910781591E-03
         3         15   5.7003860242941802E-02   2.3701127738066124E-01   1.7143362754341476E-01   2.6234382478208973E-02
         3         16   1.8376287827445888E-02   2.2683055188547036E-01   1.4146710268178511E-01   3.2534615765616864E-02
         3         17   0.0000000000000000E+00   2.9803481592307079E-01   4.8148546519961755E-02   4.9149409195629004E-02
         3         18   0.0000000000000000E+00   1.9834426603864194E-02   4.0143788206147947E-03   3.3566678836011591E-03
         3         19   1.5589182208036611E-02   1.4128539803694903E-01   9.4991212321862945E-02   2.0806541743501536E-02
         3         20   1.4233405069744021E-07   7.8880680043037603E-03   3.7783626422899972E-03   1.3202775686784855E-03
         3         21   5.2280315147349033E-03   5.7147068687161386E-02   3.8867404708604412E-02   7.9169226902059964E-03
         3         22   0.0000000000000000E+00   3.3739035961460589E-01   5.0895486610764436E-02   5.3849504927414610E-02
         3         23   0.0000000000000000E+00   2.3405989449624545E-02   4.5928511962430984E-03   4.0643102725891394E-03
         3         24   1.1988201150569693E-02   1.5541992485078440E-01   9.2530984653429335E-02   2.0915049656416981E-02
         3         25   6.0945281277538146E-07   1.0554788159034137E-02   4.3466038993634788E-03   1.6058046764307219E-03
         3         26   0.0000000000000000E+00   1.1991788381862040E-02   2.2709015554867673E-03   1.9693920285158979E-03
         3         27   1.2530185655892973E-02   6.4893337115367863E-02   4.4536941316238143E-02   7.7376083940971369E-03
         3         28   1.0493562222903003E-02   9.7356983532539784E-02   6.3103041438925936E-02   1.3586211474979700E-02
         3         29   4.7898944944816124E-08   4.3511108576554875E-03   1.9915836830517097E-03   7.0647057256548347E-04
         3         30   3.6102622446561690E-03   3.8214654482237195E-02   2.5686538830557798E-02   5.1733579648040708E-03
         3         31   4.9042531356823351E-05   4.8862424640788273E-03   1.8434190154995535E-03   4.7584803712967760E-04
         3         32   1.4033007659972577E-03   2.3242356659290447E-02   1.1514977066768232E-02   2.5142631984692862E-03
         3         33   2.2697750707480862E-09   6.6644289814837745E-04   1.4744303039574905E-04   5.8293442443647765E-05
         3         34   1.2164585710084809E-03   1.4868285835292424E-02   8.2462415717661670E-03   1.7111550268794939E-03
         3         35   1.2719544122253812E-10   2.9889818582604674E-04   6.5544977261777776E-05   2.5249113045580765E-05
